ID,English,Others,
ghost4talka2,哎呀！太好喝了，我怕一不小心全喝光了。,Oh my! It’s so tasty I hope I don’t drink all of it by an accident.,
ghost4talka3,在这个微凉的夜晚，没有什么比吸着血、让大鸡巴插在小穴里更爽的事了。,Nothing beats sucking blood and huge cock inside your pussy on chilly night.,
ghost4talkb1,你……你做到了。从现在起我们就是夫妻了。,You... you have done it. We are married from now on.,
ghost4talkb2,老公把我最喜欢的裙子撕破了。哼……没关系，老公会给我买新的。,My husband ripped my favourite dress. Hmm... Doesn’t matter husband will buy me a new one.,
ghost4talkb3,我会做个好老婆的。比你想象的还要好。,I will be good wife. Even better than what you have imagined.,
ghost5talka1,哈……！人类 0，鬼魂 1。我可是能干一整晚的。,"Hah....! Human 0, Ghost 1. I can do it all night.",
ghost5talka2,喂，别慢下来啊。你把乐趣都搞没了。,"Hey, don’t slow down now. You killing all the fun.",
ghost5talka3,嗯，我喜欢走后门。要是你有两根鸡巴就好了。同时插两个洞一定很过瘾。,"Yeah, I love it in my butt. I wish you have two cocks. It would have been a lot of fun to take both of them at once.",
ghost5talkb1,喂，不行……那个洞是禁区。停下……我一点都不喜欢这样。,"Hey, no.... That hole is off limits. Stop... I don’t like this one bit.",
ghost5talkb2,我的屁股比小穴紧多了。请用那里吧。那里不太好玩。,My ass is much tighter than my pussy. Please use it. It’s not much fun doing it there.,
ghost5talkb3,喂，至少让我捡一下手机嘛。我想跟我们拍张自拍。,"Hey, at least let me pick up my phone. I wanna take a selfie of us.",
ghost6talka1,哦……骑着一根大鸡巴尽情歌唱的感觉太棒了。我不把你放走，直到我高潮或者唱完这首歌。,Oh... it's great when you are riding a massive cock while singing with your heart. I'm not letting you go anywhere until I cum or my song is finished.,
ghost6talka2,亲爱的！你为什么捂着耳朵？也许我再提高点音调，你会觉得我的声音更好听哦。,Darling! Why are you covering your ears? Maybe if I increase my pitch you will find my voice more soothing.,
ghost6talka3,你的挣扎是徒劳的。我已经把你按住了。你必须听完我整首歌，哪怕会要了你的命。至少你走得很开心。,Your struggle is futile. I have pinned you down. You must listen to my entire song even if it kills you. At least you are going happily.,
ghost6talkb1,咕噜……咕噜……你觉得这能阻止我唱歌？好吧，你说得对。,Gluck... Gluck.... do you think it will stop me from singing? Well you are damn right.,
ghost6talkb2,喂，别这样深喉我。你会毁了我甜美的嗓音。我还怎么用走调的声音去引诱猎物啊。,"Hey, don't deepthroat me like this. You will ruin my sweet voice. How I'm gonna lure my victims with inharmonious voice.",
ghost6talkb3,这是什么妖法？我居然咬不了你的鸡巴。事实上我想让你把它深深插进我的嘴里，用你的精液把我呛住。,What kind of sorcery is this? I’m not able to bite your dick. In fact I want you to thrust it deep inside my mouth and choke me with your cum.,
ghost6talkc1,操！你怎么知道这个秘密的？我以为那个秘密在我撕碎那个机器女孩之后就安全了。,Fuck! How do you know this secret? I thought this secret would be safe after I shredded that machine girl.,
ghost6talkc2,该死的人类！你居然敢射在我里面。下次被我抓到我一定要把你操到死。现在你就……专心做你的事吧。,"Damn it, human! Just you dare cum inside me like this. I'm gonna fuck you so hard once I catch next time. For now just... just focus on what you are doing.",
ghost6talkc3,鬼魂之主啊！我甜美的嗓音，没了！我现在听起来像个可怜的人类。你毁了我的裙子。作为回报，我要毁了你的鸡巴。这才公平。,"Lord of Ghosts! My sweet voice, it's gone! I sound like a pathetic human now. You ruined my dress. So in return I will ruin your cock. It's fair thing to do.",
ghost6talkd1,你是什么变态？你怎么能把这么私密的行为录下来给别人看？你从中得到什么病态的快感？,What! You are selling our video online for 150 coins? You should ask more for it since it's me.,
ghost6talkd2,该死！我才不会对着镜头摆出淫荡的表情。呜……好吧好吧……我做。但别再那样扯我的头发了。,Do you want me make lewd faces looking at the camera? Fuck off! I'm not doing that for you sick pleasure.,
ghost6talkd3,呜呜……我好羞耻，居然让你这样对我，还脱光了衣服。要是其他哀嚎妖看到我被人类操，我在哀嚎妖界就成笑话了。,Fuck! If any other Bansheeps find out I had a baby with you I will become their laughing stock.,
ghost7talka1,（在书上写字……）我的胸不就像屁股一样软吗先生？我最喜欢用它让别人射出来了。,(Writing on book...) Don't my boobs feels like a butt mister? I love to it when I make someone cum using them.,
ghost7talka2,（在书上写字……）你现在被我控制了。你不射满我的胸就别想逃。,(Writing on book...) You are under my control for now. You can't escape until you cum all over my boobs.,
ghost7talka3,（在书上写字……）你的鸡巴是我见过最大的。我在想把处女之身给它会是什么感觉。,(Writing on book...) Your cock is the biggest I have ever encountered. I'm wondering how it will feel losing my virginity to it.,
ghost7talkb1,（在书上写字……）哦……你的鸡巴把我小穴操得好猛。没想到它能给我这么大的快感。,(Writing on book...) Oh... you are cock is thrashing my pussy really hard. I didn't expect it give me this much pleasure.,
ghost7talkb2,（在书上写字……）喂，你操我的时候别揉我的胸。搞得我更痒了。,"(Writing on book...) Hey, don't fondle my breasts while you are humping me. It's getting me more horny.",
ghost7talkb3,（在书上写字……）把处女之身给一根大鸡巴的感觉真好。要是你没用那个特殊防护就更爽了。,(Writing on book...) It's feels great to lose your virginity to a huge cock. If would have been more fun if you didn't use this special protection.,
ghost8talka1,哦甜心！我还记得帮你破处那天呢。在折断你那东西之前，我要好好享受一下。,Oh sweetie! I still remember the day I help you lost your virginity. I'm gonna enjoy my time with you before I snap your thing.,
ghost8talka2,等我玩够了你的鸡巴，它就会成为我收藏品中的又一件。,Yours will be another addition to my collection of cocks once I'm done playing with you.,
ghost8talka3,呜……你怎么一脸惊恐啊亲爱的？你不喜欢我们做爱吗？别担心！我折断它的时候会轻点的。,Oww..... what's with terrified look honey? Aren't you happy that we are having sex? Don't worry! I will be gentle while ripping it off.,
ghost8talkb1,哦……亲爱的！你费这么大劲干嘛？坐着别动让我来就好了。还是说你害怕了？嘿嘿……,Oh.. honey! Why are you doing all the efforts? Just sit back and let me take over. Or are you scared? Hehe...,
ghost8talkb2,这样操我的屁股确实能暂时困住我……但是……挺好玩的。你可以继续插。,Fucking my ass like this will temporarily hold me captive but... it's fun. You can continue pounding it.,
ghost8talkb3,你真是个聪明的孩子。你用腿把我的屁股撑开，这样我就夹不了你的鸡巴了。看来今晚我收集不了你的鸡巴了。,You are very smart kid. You are using your legs keep my ass wide open so I wont squeeze your dick. Looks like I won't be collecting your dick tonight.,
ghost8talkc1,乖乖坐着让妈妈来照顾你。趁能享受就好好享受吧。,Just sit back and let Mommy take care of you. Enjoy it while you can.,
ghost8talkc2,哎呀！我接手的时候你撞到头了。这样更好！之后你就不会觉得痛了。,Oh my! You hit your head when I was taking over. It's better! You won't feel any pain afterwards.,
ghost8talkc3,我就知道你迟早会放弃的。现在乖乖躺好，让我骑你的鸡巴。,I know you'd give up at some point. Now just stay down and let me ride your cock.,
ghost9talka1,你干嘛想抓我？你放我走的话，我每天都这样给你撸。,Why are you trying to capture me? I will give you a handjob like this everyday if you leave me alone.,
ghost9talka2,你好厉害！你很会用舌头取悦女人呢。,You are amazing! You know how to use a tongue to pleasure a lady.,
ghost9talka3,对，继续那样舔我的小穴。感觉好舒服。,"Yes, keep licking my pussy like that. It's feeling so good.",
ghost9talkb1,啊！别那么粗暴！我从来没被你这么大的鸡巴操过。,Ah! Not to rough! I've never been fucked by a huge dick like yours.,
ghost9talkb2,呜呜……轻点……你再这样下去我会……我会再死一次的。,Oww.... please be gentle... If you continue like this I will.... I will die again.,
ghost9talkb3,求你放了我……我会给你这辈子最棒的撸管体验。我发誓，求你了。,"Please let me go... I will give you a handjob you never had in your life. I promise, please.",
ghost10talka1,嗯……你脸色好苍白。你怕我？哦，等等！你所有的血都涌到鸡巴里去了。嘿嘿……别担心！你射得越快就越快破解我的诅咒。,I used my magic to make your dick bigger and increase your cum production. There is not enough blood in your body to support this massive cock.,
ghost10talka2,这个时间线里没有巨人或者兽人活着了。我只能诅咒你，让你的鸡巴有半个巨人那么大。,I followed my older sister footsteps into getting railed by giants and orcs back in my day.,
ghost10talka3,被我盯上就别想逃。我要从你身上榨出一帽子的精液。倒进我的精液收藏里之后再来要更多。嘿嘿……,You can't run away until I squeeze every last drop of semen from your balls. Do you see this hat over my head? I want you to fill it up before I'm done with you.,
ghost10talkb1,哦天哪……你真是个天才。我怎么没想到这个？也许这就是我姐姐让人类存活的原因。,Fuck! You are genius. Try making a third clone to keep my mouth busy.,
ghost10talkb2,求你了……多变几个分身。我想被那么多鸡巴一起用。用你的精液覆盖我的全身。,Why don't you make more clones? I wanna keep getting railed by you all night.,
ghost10talkb3,呜呜……你太粗暴了。你是在气我之前给你下诅咒吗？,Why so rough? Are you mad I gave you a curse last time?,
ghost10talkb4,哦……原来你是淫欲的徒弟啊。难怪你这么聪明。她选学生可是很挑剔的。别告诉她你在这里做的事，不然她会生气的。,Don't tell my sister Lust I took her share of cum from you. She will be pissed at both of us.,
ghost11talka1,操！我的鸡巴夹在她的奶子中间。好软好弹，我控制不住自己了。,Fuck! I can't resist but slide my dick between her huge boobs.,
ghost11talka2,不……我不能射在她脸上。我会变成和她一样的鬼的。,Even if this kills me I'm gonna keep ramming it over her boobs.,
ghost11talka3,她一直在分散我的手。她是想把我变成鬼吗？操，不要。我不想死。,Fuck! Even if she make me a ghost I'm still fucking her instead of a human. I mean who could resist her.,
ghost11talkb1,看招！现在你不想把我变成鬼了吧。试试之前你可不是这么想的。,Yeah! I love to pound that ghost pussy like that. I can fuck her as much as I want now that I have protection.,
ghost11talkb2,该死！真希望她有嘴。我的耳朵好想听她甜美的呻吟。,Damn it! I wish she had a mouth. My ears are yearning to hear her sweet moaning.,
ghost11talkb3,她太轻了。我可以轻轻松松操她好几个小时。继续用你的幽灵腰动起来。,She is too light. I can effortlessly fuck her for hours. Keep your ghostly hips moving.,
ghost11talkc1,什么鬼！为什么我动不了了？这是她的能力吗？我只有鸡巴周围还有感觉。,Ahhh.... just sitting back and enjoying a hot ghost riding on your dick. What else a man could want?,
ghost11talkc2,我感觉生命在从身体里溜走。她是很性感但我不想为了她的小穴去死。,I won't regret if I die like this. I will at least go away happily.,
ghost11talkc3,呜呜……这感觉又好又糟。啊啊啊！拜托，让我先戴上鬼魂避孕套。,This is the only animation where I speak instead of a ghost because this ghost don't have face. I know Weseen also don't but she writes stuff.,
ghost12talka1,来吧……我知道你跟戒指男是一伙的。告诉我们他在哪，我就停下来。,I have seen human going weak after ejaculating so... I doing this hurts them.,
ghost12talka2,特维尔佩·纳玛胡！你就喜欢这样被闷死对吧。,"I know if you die, you will be happy to go away like this.",
ghost12talka3,*咳* 差点把自己呛到了。快说出来，不然这事没完。,It’s so big. I can’t even fit it whole inside my mouth.,
ghost12talkb1,啊！Ym ssa！至少把绳子从我屁股里拔出来。好痛啊。,"Hey, do you really need to keep that thing in my butt. It’s hurting you know.",
ghost12talkb2,你知道我们的弱点。你肯定跟戒指男和他情人一伙的。她把绳子塞进我屁股里给戒指男逃跑的时间。操！停下……姐姐帮帮我。,"Yes, suck my one tit with your mouth and keep pinching the other one. It will hamper my abilities. This way, if my sister ask me anything I can give her some excuse.",
ghost12talkb3,姐姐……这个人类在跟我交配。救命！他疯狂地挤我的奶。我用不了能力了。,I need to drink a lot of milk to replenish the amount I have lost in past 5 minutes. It’s impossible produce this much milk but... it’s an erotic game so anything is possible.,
ghost12talka11,Yu dratasb！你帮戒指男打败了我姐姐。现在她只想跟他交配。为了替她报仇，我要把你的家伙电得更狠。,Sister now loves getting railed by ringman. I can’t believe it. Maybe she was planning this from the beginning.,
ghost12talka12,好好享受吧！我要把你弄到虚弱不堪，让你后悔帮了戒指男。,I can’t even talk to her. Her minds feels empty. Maybe she is having time of her life out there.,
ghost12talka13,我就知道你跟戒指男一伙的。我真希望姐姐信我，别中了他们的计。她以为他们会派那个女孩来骗我们。,How could one would fall for that trick? I know she is into all this. What other explanation is there?,
ghost12talkb11,啊！我只能忍了。姐姐不想再跟我一起狩猎了。我们俩因为生了人类的孩子都会被笑话的。,"Hey, do you really need to keep that thing in my butt. It’s hurting you know.",
ghost12talkb12,呜……至少把那个东西从我屁股里拔出来。我现在明白长老为什么叫我们对付人类时要小心了。,"Yes, suck my one tit with your mouth and keep pinching the other one. It will hamper my abilities. This way, if my sister ask me anything I can give her some excuse.",
ghost12talkb13,呜呜……这样捏搞得我奶水狂流。你把我胸里的奶挤光了我就用不了能力了。,I need to drink a lot of milk to replenish the amount I have lost in past 5 minutes. It’s impossible produce this much milk but... it’s an erotic game so anything is possible.,
ghost13talka1,呜呜……看看你射了多少了。你的蛋蛋都快空了吧。不管你是不是鬼魂猎人，我都能把每个人的精液榨干。,"Ohhh... look, how much you have came until now. I can tell your balls are almost empty. It doesn't matter if you are ghost hunter or not. I can squeeze out everyone.",
ghost13talka2,还挺聪明的嘛……你脱光衣服就不会被我控制太久了。无所谓。等你回过神来的时候我已经把你榨干了。,We have a smart fellow here... You strip yourself naked so you will not be under my control for too long. It doesn't matter. I will milk you dry by the time you come back to your senses.,
ghost13talka3,可怜的人类，垂涎着我。你跟我做爱越多，之后几天就越累。来吧别动！你不会死的。只是会觉得有点累而已。,"Poor human, lusting after me. The more you have sex with me the more you will feel tired for days. Come on stay still! You will not die. Just feel a little tired, that’s it.",
ghost13talkb1,啊……呜！慢点！我的脊椎已经不行了。别粗暴地碰我的角你这蠢货。它们是真的。操！幸好我现在不是超级吸淫蜂状态。,"Ahhh... ohhhh! Slow down! My spine is already busted. And don't be rough with my horns you stupid asshole. They are not fake. Fuck! Thank Devil, I'm not in a super suckerass state.",
ghost13talkb2,好极了！你怕我控制你？不怕？那你为什么不穿上衣服来操我屁股啊，胆小鬼。,Good Hells! Are you scared that I will take control of you? No.. Then why the hell don't you wear your cloths and fuck my ass instead you coward.,
ghost13talkb3,"（用奇怪的声音……）Tahw siht！Eno fo ym tsol nerdlihc。Emoc emoh, dlihc... Tel em evig uoy ym sgnisselb。Tel em etsat taht kcoc fo sruoy。Nruter ot eht ecalp erehw uoy gnoleb。""Tsulana Egalliv!""","(In a strange voice...) Tahw siht! Eno fo ym tsol nerdlihc. Emoc emoh, dlihc... Tel em evig uoy ym sgnisselb. Tel em etsat taht kcoc fo sruoy. Nruter ot eht ecalp erehw uoy gnoleb. 'Tsulana Egalliv!'",
ghost13talkc1,你居然让我看着你跟别人做爱。这种罪怎么能不惩罚。等我完事了会让你比之前更累。不过别担心。过程会很慢很销魂。,You made me watch you having sex with someone else other than me. How could such sin go unpunished. I'm gonna make leave you more tired than before once I'm done with you. But don't worry. It will be slow and ecstatic.,
ghost13talkc2,抓紧了！我不想你滑倒撞到头。你要是昏过去了操你就没意思了。,Hang on tight! I don't want you to slip and hit your head. Having sex with you will be useless if you become unconscious.,
ghost13talkc3,你嚎什么？我以为你很享受把鸡巴插在我多汁的屁股里呢。也许是害怕做完之后我会让你瘫痪吧。,Why are you wailing? I thought you are enjoying ramming your cock inside my juicy ass. Maybe it's the fear of paralyzed I will leave you after this session.,
ghost13talkc4,哦……你还带了淫水给我喝真好！做了这么久我渴死了。要喝点我的奶吗？你脸色好苍白啊，嘿嘿……,"Ohh.. how nice of you to bring my some cum water to drink! I was so thirsty from all this sex session. Do you want some of my milk? You look so pale, hehe...",
ghost13talkd1,不！我现在是以真正的吸淫蜂形态了。他根本不是我当初变身成这个怪物时看到的那个男人。我会……我会永远做个吸淫蜂……如果他现在射进我体内，我就永远变成这个怪物了。,On! I ma ni ym laer kcus-ssa-eeb mrof. Eh si ton eht yug I was nehw I tsrif mrofsnart otni siht retsnom. I lliw... I lliw yats a kcus-ssa-eeb reverof... Fi eh muc edisni em won I lliw eb siht retsnom reverof.,
ghost13talkd2,"求你别射，求你别射！为什么淫水会让我变弱？也许我对它并非完全免疫……","Esaelp ton od muc, esaelp ton od muc! Yhw ma I denekaew htiw muc retaw? Ebyam I ma ton yletelpmoc enummi ot ti.",
ghost13talkd3,我根本没法逃走。我浑身无力，这家伙把我抱得死死的。该死！我注定要永远当吸淫蜂了。,Ereht si ton yaw I nac epacse. I ma gnileef os kaew dna siht yug gnidloh em llew ni sih smra. Kcuf! I lliw eb yllanrete denmad ot eb kcus-ssa-eeb.,
ghost13talkd4,你想对我做什么就做吧。从你闯进我小穴那天起，我的命运就已经注定了。你本来不该是那个人的。你为什么要这么做？,Tsuj od revetahw uoy tnaw htiw em. Ym etaf saw delaes eht yad uoy emac edisni ym yssup. Uoy erew ton esoppus ot ehe eno. Yhw did uoy od ti?,
ghost14talka1,吸溜……吸溜……,Slurpp….suck!,
ghost14talkb1,嗯……啊！我真希望你没戴那个东西！那样我会更舒服的……呃！,Ummm… ahhhh! I just wish you did that without that thing on!  It would have been fun for me… ekkkk!,
ghost14talkb2,啊！我讨厌跟鬼魂猎人做爱。一点快感都没有。不管他们的鸡巴有多大。,Arghhh! I hate it when it’s a ghost hunter having sex with me. I feel no pleasure at all. No matter how big their cock is.,
ghost14talkb3,呜！等我恢复力气你等着瞧！我会把你困在我的领域里。,Ughhh! Just you wait until I get my strength back! I will keep your trapped in my domain.,
ghost14talkc1,……！,…!,
ghost15talka1,你们这些鬼魂猎人一定都是那个贱人的朋友吧，所以我必须毫不犹豫地惩罚你。,All you ghost hunters must be friends with that wench so I must not hesitate to punish you.,
ghost15talka2,希望你里面存货够多。因为我还没享受够榨精呢。,I hope you got plenty of juice in there. Cause I won't be done enjoying milking out just yet.,
ghost15talka3,我能这样干一整天，但你们可怜的人类可不能像我一样一直被榨。,I can do this all day but you pathetic humans can’t be milked like me all the time.,
ghost15talkb1,你这好色的人类！你想操我的话我可以用嘴啊。你为什么要把我漂亮的尾巴变成腿？,You horny human! If you wanted to fuck me I would have let you use my mouth. Why do you have turn  my beautiful tail into legs?,
ghost15talkb2,呜呜……轻点，我的小穴太娇嫩了受不了你这么硬的东西。哈啊……！,Owww… be gentle my pussy is too delicate for a hard things like yours. Hahhhh….!,
ghost15talkb3,什么！你现在要把我带回那个女人那里去了？她付钱让你抓我的吗？,What! Now you are gonna take me back to that lady again? Did she pay you to capture me?,
ghost16talka1,（脑中的声音……）准备好感受痛苦吧，无知的鬼魂猎人。最后我会用我的屁股碾碎你的家伙。,(Voices in head...)Prepare to feel the pain you ignorant ghost hunter. At the end of this I will crush your meat with my buttocks.,@NEW
ghost16talka2,（脑中的声音……）嘘……别叫！那样会减轻痛苦的。我要你好好感受。哦……你的家伙在跳……你很享受吧？哈哈……我会让你先射出来再给你痛苦一击。,(Voices in head...)Shhh... don't scream! It will lessen the pain. I want you to feel it. Oh... is your meat twitching... Are you enjoying it? Hahah... I will let you ejaculate before dealing the painful blow.,@NEW
ghost16talka3,（脑中的声音……）这就是你当鬼魂猎人的报应。我恨透了你们这种人。现在后悔已经太晚了。你的命运就掌握在我的屁股里，而我可不是什么宽宏大量的人。,(Voices in head...)This is what you get for being a ghost hunter. I hate your kind with passion. It's too late regret now. Your fate lies in my buttocks and I'm not the forgiving kind.,@NEW
ghost16talkb1,（脑中的声音……）愚蠢的鬼魂猎人！我的身体虽然虚弱但魔法一如既往的强大。我会让你的驱逐仪式失败的嘿嘿……,(Voices in head...)Foolish ghosthunter! I might body might be weak right now but my magic is strong as ever. I will make you fail the banishment ritual hehe....,@NEW
ghost16talkb2,（脑中的声音……）对！对！继续看着我的手指……你不用跟我交配。把你的家伙掏出来。对……就是这样……嘿嘿……,(Voices in head...)Yes! Yes! Keep looking at my fingers.... You don't have to copulate with me. Just pull your meat out. Yeah... just like that... heheh.....,@NEW
ghost16talkb3,（脑中的声音……）露出你的家伙插进来吧。看在你这么乖的份上我会让你快活的嘿嘿……,(Voices in head...)Uncover your meat and slip it inside me. I promise to make it swift since you were such a good boy heheh...,@NEW
ghost16talkc1,（脑中的声音……）这是什么妖法？为什么我的力量对他无效？他不应该在我的控制之下。,(Voices in head...)What kind of sorcery is this? Why my powers are ineffective on him? He shouldn't be under my control.,@NEW
ghost16talkc2,（脑中的声音……）愚蠢的人类！这只会让我更恨你们这种人。我发誓我会报复你，把我的身体当性爱套筒用。,(Voices in head...)Foolish human! This will only make me more angry at your kind. I swear I will take my revenge for using my body like a sex sleeve.,@NEW
ghost16talkc3,（脑中的声音……）我不是来跟你交配的。立刻放开我！选一个你想被碾碎的方式吧。用胸部还是屁股……,"(Voices in head...)I'm not here to copulate with you. Let go of me this instant! Instead, choose how you would like to be crushed. By breasts or buttocks....",@NEW
ghost16talkd1,（脑中的声音……）嘎啊啊啊……！你怎么知道我的弱点？哦……我知道了……肯定是那个该死的鬼魂猎人。你跟他用的是同一个洞。一定是他。他总是骗我这样交配。这把我逼疯了。,(Voices in head...)Graaahhhhh......! How do you know about my weakness? Oh... I know... must be that rotten ghosthunter. You are mating with same hole as him. It has to him. He always tricked me into mating like this. It driven me insane.,@NEW
ghost16talkd2,（脑中的声音……）趁能享受就好好享用我的屁股吧。等我收拾了那个混蛋就来找你。你的下场会跟他一样凄惨。,(Voices in head...)Enjoy mating my buttocks while you can. I swear I will come for you after I've dealt with that scoundrel. Your fate will be as grim as him.,@NEW
ghost16talkd3,（脑中的声音……）嘿……你能选个颜色吗？红色还是粉色……你选哪个？,(Voices in head...)Hey... could you pick a color? Red or Pink... which one do you choose?,@NEW
ghost17talka1,（咕噜……啧啧……）我会照你说的做……,(Gulp... smooch....)I will do as you say....,
ghost17talka2,这是我今晚……哈……嘿嘿嘿……吸的最后一根鸡巴了……除非我见到家人。,This is the… ha… hhheeehhee.. last cock I will suck tonight... unless I see my family.,
ghost17talka3,求你了……罗宾先生。放了我的……呃……女儿吧。我会做个听话的淫祭女的。,Please... Mr. Shiratori. Let my… hehh…. daughter go. I'll be a obedient sex priestess like you want.,
ghost17talkb1,求你了……停下！我做不到除非……嘿嘿……你信守承诺放了我的家人。,Please... stop! I can't do unless.... heheh..... you keep your promise and let my family go.,
ghost17talkb2,哈哈……嘿嘿嘿……罗宾先生，我丈夫是你的朋友啊。你为什么要……嘿嘿……背叛他？,"Haha..... heheee..... Mr. Shiratori, my husband was your friend. Why would you heheh.... betray him?",
ghost17talkb3,我今晚被当鸡巴套筒用了嘿嘿嘿……只要你保证我家人的安全，你要我做多少次都行。,I have been used like a cock sleeve tonight heheheh..... I'm ready to do it as many times as you want if that keeps my family safe.,
introluna1,太一，你回来了！你没事真是太让人放心了。显然你抓的鬼魂袭击了你。我不知道具体发生了什么但你一直不接电话。对了有个好消息！留美亚让我们加入了她的鬼魂猎人公会，所有基础装备免费提供。,"Taichi, you back! It's huge sigh of relief that you are alright. Apparently the ghost you captured attacked you. I don't know what exactly happened but you were not responding on call. Well I got a good news! Rumia have made us part of her ghost hunting guild so we will receive all basic equipment for free.",
introluna2,我自己也跟増夫学了几招。我想我可以作为卡车助手加入你的契约了。出问题的时候由我来联系留美亚或他。,I learned a few things myself from Masuo. I think I will be able to join you on your contract as a truck assistant. I will be the one calling Rumia or him when things go awry.,
introluna3,哦，关于你抓到的那个鬼魂。她叫温蒂。她很友好的。我觉得她不太可能真的袭击了你。她目前在地下室。你可以去跟她聊聊或者……我们现在就去执行契约。哦……留美亚给了她一件T恤。普通衣服会从她身上穿过。这件能穿住。,"Oh, about the ghost you caught. Her name is Kaori. She is quite friendly. I don’t think she could have actually attacked you. She is in the basement for the time being. You can talk to her or… we can go on a contract right now. Oh… her white t-shirt now appears at your home now.",@NEW
