ID,English,Others,Japanese
point4part4,D) 捕获鬼魂。（第4部分）,D) Fucking ghost. (Part 4),D) ゴーストの捕獲 (パート 4)
point44explain,鬼魂被捕获后，你可以通过访问电脑并按下“结束调查”按钮来离开现场。,"After sex, it will go to your house for round 2. You can exit site by choosing 'End Investigation' from your computer.",ゴーストが捕らえられた後は、トラック内のコンピューターにアクセスして現場から離れることができます。 幽霊を捕まえていなくても、いつでもサイトを離れることができます。
toolname,工具,Tools,ツール
tool1name,A) 证据工具,A) Evidence Tools,A) 証拠ツール
tool2name,B) 驱鬼工具,B) Sex Toys,B) 追放ツール
tool3name,C) 其他工具,C) Others,C)その他のツール
toolobj1,1) 摄像机,1) Video Camera,1)ビデオカメラ
toolobj2,2) 温度计,2) Hotness-meter,2) 温度計
toolobj3,3) 紫外线手电,3) UV Flash-light,3)UVトーチ
toolobj4,4) 点阵投影仪,4) Laser Projector,4)レーザーグリッド
toolobj5,5) EMF读数器,5) Horny Reader,5)EMFリーダー
toolobj6,6) 鬼魂笔记,6) Ghost Book,6)ゴーストブック
toolobj7,7) 通灵盒,7) Ghost Box,7)オーディオボックス
toolobj8,1) 破阴刃,1) Cursed Dildo,1)呪われたダガー
toolobj9,2) 射精盐,2) Cum Salt,2)精液塩
toolobj10,3) 照阴镜,3) Dark Mirror,3)黒い鏡
toolobj11,4) 缚阴索,4) Sex Rope,4)特別なロープ
toolobj12,5) 淫水,5) Cum Water,5)精液水
toolobj13,6) 蜡烛,6) Candles,6)キャンドル
toolobj14,1) 阴尘粉,1) Flour,1)小麦粉
toolobj15,2) 迷魂香,2) Incense Sticks,2)お線香
toolobj16,3) 运动传感器,3) Motion Camera,3)写真カメラ
toolobj17,4) 蜜汁汉堡,4) Honey Burgers,4)ハニーバーガー
toolobj18,5) 定魂丸,5) Sex Pills,5)恐怖の薬
toolobj19,6) 精力罐,6) Energy Can,6)エネルギー缶
toolobjuse1,可用于确认鬼房中的灵球。通过电脑访问摄像机（需开启夜视模式）。,Spy on ghosts from the truck. Can see orbs.,ゴーストルームでオーブを見つけるために使用します。コンピュータ経由でアクセスできます。(ナイトビジョンでのみ表示されます)
toolobjuse2,可用它来寻找鬼房。鬼房的温度通常比其他房间更低。,Are ghost hot? Maybe not. Measures temperature in a room.,それを使用してゴーストルームを見つけます。ゴーストルームは他の部屋に比べて温度が低くなります。
toolobjuse3,可以发现门、窗和其他物体上的紫外线指纹。,Find some naughty prints made by ghost.,窓、ドア、その他のオブジェクトへの UV プリントをご覧ください。
toolobjuse4,可以确认激光显影。将其开启并通过摄像机观察。,Can confirm laser projection. Turn it on and observe it with video camera.,幽霊によって作られたレーザーの幻影をご覧ください。照明が消えているときのほうがよく見えます。
toolobjuse5,可以捕捉鬼魂与物体互动后产生的EMF读数。,Measures level of horniness in a ghost.,幽霊のような活動によって生成された EMF レベルを読み取ります。
toolobjuse6,可以用它获取灵异笔迹。放在鬼房附近效果更好。,Let ghost express themselves on it.,書き込みの証拠を得ることができます。より良い結果を得るには、ゴーストルームの近くに置きます。
toolobjuse7,可以用它捕捉鬼魂的音频回应。在鬼房附近或内部使用效果最佳。,Converts ghostly whispers into simple intentions.,幽霊があなたの前を通過したときに、幽霊の音声応答をキャッチします。
toolobjuse8,在猎杀开始时鬼魂处于静止状态时，将其刺入鬼魂体内。,Shove it in a ghost's ass while it's about to hunt.,狩りの初めに幽霊の中にそれを突っ込みます。
toolobjuse9,将其洒在地上来伤害经过的鬼魂。冷却时间2秒。,Must damage a ghost by spilling it on the floor. Has 2 secs cool down,それを床に注ぐと、その上を通過するゴーストにダメージを与えます。
toolobjuse10,站在大镜子前按下“使用”键来释放诅咒光线。,Stand in front of big mirrors and press ‘Use’ to cast cursed rays.,大きな鏡の前に立って「使用」キーを押して光線を放ちます。
toolobjuse11,在猎杀开始时，在鬼魂附近反复按下“使用”键。,Repeatedly press ‘Use’ near ghost at the start of the hunt.,狩りの開始時に「使用」を繰り返し押してゴーストを捕まえます。
toolobjuse12,将其扔向追赶你的鬼魂来将其击倒。,Moisten ghost up a bit before sex.,ゴーストに水をかけてノックします。
toolobjuse13,在鬼魂准备猎杀时，将其放置在鬼魂3.5米范围内，共放两根。,Place two within 3.5m to burn ghost cloths.,狩りの開始時にゴーストをノックダウンするには、ゴーストから 3.5 メートルの範囲内に 2 本のキャンドルを置きます。
toolobjuse14,确认鬼魂的飞行特性。,Confirm flying characteristics of a ghost.,ゴーストの飛行特性を確認する。
toolobjuse15,被鬼魂抓住时可以用来快速逃脱。也可以在鬼房使用来延迟猎杀30秒。,Can take a break during sex or delay sex for 30 seconds.,幽霊に捕まった場合にそれを使って逃げましょう。ゴーストルームで使用すると、狩りを 30 秒遅らせることもできます。
toolobjuse16,将其放在鬼房附近以完成可选目标。,Take some sexy photos of ghosts.,それを使用して写真の目的を完了します。
toolobjuse17,这些汉堡具有恢复效果。恢复25点生命值。,Only HTA player know origin of this honey. Heals 25 HP.,体力の 25% を回復します。
toolobjuse18,服用后让你无所畏惧，降低惧意条25%。,Soothes fear of rejection by a ghost.,恐怖を 25% 軽減します。
toolobjuse19,让你在90秒内拥有无限跑步精力。,Can run to your girl's house with breaking a sweat if she is alone.,90秒間スタミナを使わずに走ります。
