ID,English,Others,
mainchannelname0,鬼魂狂热者,GhostPussyLover,@NEW
mainchannelname1,月子狩猎频道,TsukikoTheHunter
userdialog27,都怪这些烦人的鬼害我生意做不下去了。,I’m losing business thanks to these pesky ghosts.
userdialog28,你是一的朋友对吧？有事尽管找他。我们家超有钱的。世界上没有买不到的东西。哈哈哈……,It's not fun to steal you from your girlfriend. She is not rich enough to mess with. I love to steal boyfriend’s from rich girls.
userdialog29,哦，原来还有驱鬼师可以联系啊。,"Oh, so there’s still a ghost hunter we can contact."
userdialog30,别把每只鬼都抓走啊。我们有些鬼不害人的。不信你问増夫。,I’m a ghost in Magic Ring…
userdialog31,嘿，能来我家驱鬼吗？我老婆和她学生被鬼搞得没法好好「学习」了。,"Hey, can you deal with ghosts at my home? My wife is not able to enjoy her students cock as they have to hide whenever a ghost is attacking them."
userdialog32,我一直知道那里有鬼。我……感觉到了超自然的存在。,"I always knew this ghost was there. Well, I can see them with my own fucking eyes."
userdialog33,卧槽！@OliviaWayne 看看妈在这视频里干了什么。你还不信爸说的话？,"Wow, mom is getting some from her new boyfriend. @YoshimiYamada don’t tell me you still don’t believe that mom is a slut."
userdialog34,我朋友香织跟他一起工作。说到抓鬼他们是最强的。,If you fuck Kaori for more than 69 times. You will note from Tsukiko about Kaori's real body.
userdialog35,妈的真想代替他。我好想操八尺夫人。怎么才能让八尺夫人来找我？,Damn I wish I was in his place. I wanna fuck Tall Lady so bad. How do I get a tall lady hunt me?
userdialog36,嗯……这根好像正适合我呢。,Hmm… seems like a perfect cock for me.
userdialog37,月子，能删掉我和増夫做爱的那段吗？我想保留一点私生活。,Please remove the part where I'm having sex with Masuo. I don't want my ex-husband to know I divorced him for sex.
userdialog38,我就知道我侄子会走这条路。我们家祖上就和超自然打交道，但你妈对这种事一直没兴趣。,Michiko replaced me in Magic Ring. I don’t think I will appear in that game.
userdialog39,那就是纯纱夫人被她的学生操。我关注她好几年了。真想对她做那些事。,"Mrs. Sakurai, acts nice in front of everyone. But when is the alone with her favorite student she becomes the sluttiest woman you will ever see."
userdialog40,你们干得很出色。来我公寓吧。我会好好犒劳你们的。,You are doing an excellent job. Come to my apartment. I will reward you for your efforts.
fileexplore,文件管理,File Explorer
interbrowse,网页浏览器,Web Browser
shutdown,关机,Shut Down
lunadiary,月子的秘密文件夹,Tsukiko's Fuck Photos
macdiary,増夫的写真集,Masuo's Sex Photos
yoshimidiary,良美的特殊照片,Yoshimi's Spy Photos
abigaildiary,葵的照片,Aoi’s Photos
momodiary,桃子的照片,Momoko’s Photos
tomoridiary,朋的照片,Tomori’s Photos,@NEW
usewallpaper,设为壁纸,Set as wallpaper
resetwallpaper,重置壁纸,Reset Wallpaper
videothumb1,爱小姐好像有男朋友了……,Ms. Ayumi having fun with her boyfriend…
videothumb2,《后穴五十日》续篇即将登陆各大影院……,Part 2 of 50 Days will hit all theaters soon…
videothumb3,晚上别裸睡否则她会……,After you release Dahlia ghost in Magic Ring…
videothumb4,趁她老公睡着我每晚都内射她……,Rose’s mom and dad….
videothumb5,给兄弟们买了个新的充气娃娃……,Lady you meet in Kunio’s storage unit…
videothumb6,瑞希小姐的头号粉丝……,Rose’s family….
videothumb7,趁邻居睡觉时上了她……,Banging my neighbor while she sleeps…
videothumb8,一对情侣在店里做爱换折扣……,A couple having sex in the shop for discount…
videothumb9,在病院里狂操美女们……,Railing beauties in the asylum…
videothumb10,新《贝莉冒险记》电影制作中……,New Bailey’s Adventures movie in works…
videothumb11,处理恐怖录像带里的鬼……,Deal with ghost from a horror tape…
videothumb12,穿校服的熟女被狠狠操……,Kunio’s mom milking me dry…
videothumb13,和助理享受片刻闲暇……,Enjoying little time off with my assistant…
videothumb14,每晚在别人女友体内射精感觉真好……,Yui gettting creampie from me…
videothumb15,常春队不败之谜……,Secret behind Evergreen college’s success…
videothumb16,这两人天天在这干那事……,Tsukiko and Taichi going at it as usual…
videothumb17,网球冠军被业余选手拉下马……,Tennis champ dethroned by an amateur…
videothumb18,和老师一起玩耍……,Help Hiroshi in Magic Ring…
videothumb19,知名漫画背后的美少女……,Pretty face behind the famous manga…
videothumb20,黑甲战士 - 第12集（人鱼床戏）,Black Armored Hero – EP 12 (Mermaid Sex Scene)
videothumb21,轻松赢猜拳游戏的秘诀……,How to easily win Janken game….
videothumb22,给朋友泼的可不只是彩弹……,Smearing my friend with more than just paintballs…
videothumb23,僵尸游戏DLC公告……,Zombie game DLC announcement…
videothumb24,她对鸡巴的渴望永远无法满足……,Her lust for cock is insatiable….
videothumb25,露丝小姐还会做菜……,Ms. Reiko is also a chef…
videothumb26,榨乳妈咪玩《僵尸围城5》……,Someone’s fucking Timmy’s sister in boy’s locker room…
videothumb27,尻之村祭典（2018）,Oshiri Village Festival (2018)
videothumb28,山田把老婆分享给大家……,She works hard to keep me pleased…
videothumb29,点三下揭晓秘密……,Click 3 times to see the secret…
videothumb30,榨乳妈咪度假中……,Spending a vacation with my cum dumpster….
videothumb31,《暗流》真人版预告片……,Author of Underflow wants to make live action…
videothumb32,性爱扑克 - 第1集（樱田纯）,Sex Poker – EP 1 (Jun Sakurada)
videothumb33,香理的冒险（哥布林床戏）,Kara’s Adventure (Goblin sex scene)
videothumb34,在大学图书馆里上妹子……,Banging a chick in college library…
videothumb35,向日葵市的可爱女人们……,Lovely ladies of Sunflower city…
videothumb36,瑞希跟一个女孩吵起来了……,Sato Anko gets in a fight with a girl…
videochannel1,向日葵市新闻,NEWS Lady
videochannel2,向日葵市新闻,NEWS Lady
videochannel3,鬼魂目录,GhostCatalog
videochannel4,精液博士,SemenDoctor
videochannel5,渣男,KunioKobayashi
videochannel6,阳光爆料,Sunny Leaks
videochannel7,戒指男,RingMan
videochannel8,随机用户30415,RandomUser30415
videochannel9,戒指男,RingMan
videochannel10,向日葵市新闻,NEWS Lady
videochannel11,鬼魂目录,GhostCatalog
videochannel12,戒指男,RingMan
videochannel13,戒指男,RingMan
videochannel14,渣男,KunioKobayashi
videochannel15,匿名用户,UserXXX
videochannel16,匿名用户,UserXXX
videochannel17,向日葵市新闻,NEWS Lady
videochannel18,戒指男,RingMan
videochannel19,漫画狂热,MangaEnthusiastic
videochannel20,裕美映画,HimawariMovieStudios
videochannel21,薫,Rose
videochannel22,戒指男,RingMan
videochannel23,饭团游戏,RiceballGames
videochannel24,匿名用户,UserXXX
videochannel25,日本新闻,NapajNEWS
videochannel26,榨乳妈咪,MilkingMommy
videochannel27,向日葵市新闻,NEWS Lady
videochannel28,精液博士,SemenDoctor
videochannel29,薫,Rose
videochannel30,榨乳妈咪,MilkingMommy
videochannel31,饭团游戏,RiceballGames
videochannel32,肯尼迪工作室,KunoStudios
videochannel33,裕美映画,HimawariMovieStudios
videochannel34,太一频道,TaiShiratori
videochannel35,向日葵市新闻,NEWS Lady
videochannel36,向日葵市新闻,NEWS Lady
tabname1,影管,VideoTubeXXX
tabname2,安珀的幽灵笔记,Honoka's Ghostpe...
appname1,鬼魂数据,Ghost Caught
appname2,色情录像机,Sex Video Maker
appname3,猜拳游戏,Janken Game
companyrutmname,露丝-増夫工作室,ReiMasu Studios
loadinreso,加载资源中……,Accessing Memories...
catghost,鬼魂,Ghosts
catrecruit,伙伴,Partners
catnpc,NPC,NPC
nextbutton,下一页,Next
prevbutton,上一页,Previous
ghostname1,1. 暴灵,1. Poltergeist
ghostname2,2. 河童,2. Kappa
ghostname3,3. 羞影,3. Shade
ghostname4,4. 哭啼女,4. Kuntilanak
ghostname5,5. 血殇玛丽安,5. Bloody Mariam
ghostname6,6. 哀嚎妖,6. Banshee
ghostname7,7. 冤魂,7. Gwisin
ghostname8,8. 八尺夫人,8. Hachishaku-sama
ghostname9,9. 鬼火,9. Onibi
ghostname10,10. 咒唤师,10. Conjurer
ghostname11,11. 幽灵姬？,11. Yurei
ghostname12,12. 雷女,12. Rai-onna
ghostname13,13. 吸淫蜂,13. Succubi
ghostname14,14. 魅影,14. Photogenic
ghostname15,15. 濡女,15. Nure-onna
ghostpos11,飞骑乘,Cowgirl Fly
ghostpos12,俯卧后入,Prone Anal
ghostpos21,腿交,Thighjob
ghostpos22,站立式,Standing
ghostpos23,三角式,Triangle
ghostpos31,站立撸管,Stand Handjob
ghostpos32,后入肛交,Doggy Anal
ghostpos33,后入式,Doggystyle
ghostpos41,站立骑乘,Stand Cowgirl
ghostpos42,后入式,Doggystyle
ghostpos51,站立后入,Stand Anal
ghostpos52,站立后入,Stand Doggy
ghostpos61,骑乘位,Cowgirl
ghostpos62,口交,Blowjob
ghostpos63,后入式,Doggystyle
ghostpos71,站立乳交,Stand Boobjob
ghostpos72,正面跪交,Front Kneel
ghostpos81,站立撸管,Stand Handjob
ghostpos82,后入肛交,Doggy Anal
ghostpos83,反骑乘肛交,R Cowgirl Anal
ghostpos91,69,69
ghostpos92,站立后入,Stand Doggy
ghostpos101,反骑乘,R Cowgirl
ghostpos102,双插,Double Pen
ghostpos111,乳交,Boobjob
ghostpos112,站立后入,Stand Doggy
ghostpos113,骑乘位,Cowgirl
ghostpos121,飞行口交,Fly Blowjob
ghostpos122,榨乳,Milking
ghostpos131,骑乘肛交,CG Anal
ghostpos151,尾交,Tail Job
ghostpos152,抱腿式,Leg Hold
recruitname1,1. 月子,1. Tsukiko
recruitname2,2. 香织,2. Kaori
recruitname3,3. 澪子,3. Sawako
recruitname4,4. 名都子,4. Nadeko
recruitname5,5. 奈美,5. Nabiki
recruitname6,6. 泉,6. Izumi
recruitname7,7. 美佐枝,7. Misae
recruitname8,8. 莲,8. Len
recruitname9,9. 送餐女孩们,9. Delivery Girls
recruitname10,10. 高香织,10. Tall Kaori
recruitname11,11. 矮香织,11. Short Kaori
recruitname12,12. 人偶香织,12. Doll Kaori
recruitname13,13. 葵,13. Aoi
recruitname14,14. 其他,14. Doctor
recruitpos11,普通,Regular
recruitpos12,普通N,RegularN
recruitpos13,制服,Uniform
recruitpos14,制服N,UniformN
recruitpos15,破衣,Ragged
recruitpos16,破衣N,RaggedN
recruitpos17,淫欲,Lust
recruitpos18,淫欲N,LustN
recruitpos19,龟甲缚,Turtle
recruitpos110,龟甲缚N,TurtleN
recruitpos21,T恤,Tshirt
recruitpos22,裸体肛交,Naked Anal
recruitpos31,着衣,Clothed
recruitpos32,裸体,Naked
recruitpos41,普通,Regular
recruitpos51,着衣,Clothed
recruitpos52,裸体,Naked
recruitpos53,狐妖,Fox Demon
recruitpos61,着衣,Clothed
recruitpos62,裸体,Naked
recruitpos71,侧入式,Spooning
recruitpos72,后入肛交,Doggy Anal
recruitpos81,后入,Doggy
recruitpos82,后入肛交N,Doggy Anal N
recruitpos91,蜜儿口交,Honey BJ
recruitpos92,蜜儿后入,Honey Ass
recruitpos93,巧可口交,Choco BJ
recruitpos94,巧可后入,Choco Ass
recruitpos95,光口交,Donut BJ
recruitpos96,光后入,Donut Ass
recruitpos97,桜口交,Ginger BJ
recruitpos98,桜后入,Ginger Ass
recruitpos99,小杯口交,Butter BJ
recruitpos910,小杯后入,Butter Ass
recruitpos101,T恤,T-Shirt
recruitpos102,裸体,Naked
recruitpos103,赤猫组,Red Kat
recruitpos104,赤猫组N,Red KatN
recruitpos131,传教士,Abigail Pussy
recruitpos132,俯卧式,Abigail Ass
recruitpos151,医生,Doctor
recruitpos152,结衣,Yui
recruitpos153,朋1,Tomo 1
npcname1,1. 増夫,1. Masuo
npcname2,4. 灵异人偶,4. Fucking Doll
npcname3,2. 其他,2. Others
npcname4,3. 都市传说,3. Urban Legends
npcpose11,博美1,Hinata1
npcpose12,博美2,Hinata2
npcpose13,桃子,Momoko
npcpose14,珠子,Juko
npcpose15,留美亚,Rumia
npcpose16,月子,Tsukiko
npcpose17,拓,Tatsuka
npcpose18,柜台,Stall
npcpose19,霞&梓,Kas&Azusa
npcpose110,纯纱1,Junsa1
npcpose111,纯纱2,Junsa2
npcpose112,桃子2,Momoko 2
npcpose113,桃子3,Momoko 3
npcpose114,桃子4,Momoko 4
npcpose115,露丝,Reiko
npcpose116,葵,Aoi
npcpose117,葵&侦探,Aoi&Ihciat
npcpose118,售货女孩,SalesGirl
npcpose119,梓,Azusa
npcpose120,薫露丝,Rosuth
npcpose21,性玩具,Sex Toy
npcpose22,澪子,Sawako
npcpose23,澪子N,SawakoN
npcpose24,淫欲,Lust
npcpose31,由美子,Yumiko
npcpose32,朋,Tomori
npcpose33,群P 1,SexOrgy 1
npcpose34,群P 2,SexOrgy 2
npcpose35,群P 3,SexOrgy 3
npcpose36,真理1,Mariko1
npcpose37,真理2,Mariko2
npcpose38,真理3,Mariko3
npcpose39,真理4,Mariko4
npcpose310,瑞希,Anko
npcpose311,美月,Megumi
npcpose312,霞宏,KasuHiro
npcpose41,传说1,Legend 1
npcpose42,传说2,Legend 2
npcpose43,传说3,Legend 3
mapname1,家,Home
mapname2,月子家,Tsukiko’s
mapname3,拓家,Tatsuka’s,@NEW
mapname4,病院,Asylum
mapname5,街道,City Streets
mapname6,大学,University
mapname7,纯纱家,Sakurai
mapname8,公寓楼,Apartments
mapname9,未定,Undecided
mapname10,未定,Undecided
mapname11,未定,Undecided
vtsearchtext,搜索,Search
