ID,English,Others,Japanese
aoivictory13,[PLAYER]你看……有人在等着买东西呢。,[PLAYER]We got out before Mrs. Yamada could stop us. I will just pull out for a moment.,
aoivictory14,@8-哦不，不用在意我！我只是在看她被操的样子。嗯……她技术不错！[END],"@8-Oh no, there's no need to stop because of me. I'm actually observing to you.[END]",
aoivictory21,[PLAYER]该死！葵你里面好紧！我太享受蹂躏你那甜美的屁股了。,[PLAYER]Shit! I love fucking Aoi. If it’s the only the I have to do I could do it for the rest of my life.,
aoivictory22,@3-哈……我跟我男朋友已经一周没做了。你能操到我算你走运。,"@3-Hehe... I know you would but, we have to work begin a family you know.",
aoivictory23,[PLAYER]我怎么从来没见过你男朋友？每次我进门他刚好就走了。,[PLAYER]Yeah! That's why I do whatever job Ryoko tells me.,
aoivictory24,@3-我知道你什么时候回家，先生。我把他支开，好跟你做一次。[END],@3-You don't have listen to everything she says. I don't like the work she gives you.[END],
aoivictory31,[PLAYER]我觉得操够了。我能回家了吗？,"[PLAYER]Huh, it's Mrs. Yamada! She asking why I left without fucking her.",
aoivictory32,@3-不行！你一次都没射。再操我一会儿。我快下班了。,@3-That old hag! Can't she go on without sex for a single day?,
aoivictory33,@3-我们一起回家，然后在床上继续。[END],@3-Always bothering my love to fuck her.[END],
aoivictory41,@3-你和我妈到底在研究什么，需要那么隐私？她从不让我跟你一起学习。,@3-I saw you and mom coming out of the hotel a few weeks ago. What were you two doing there?,
aoivictory42,[PLAYER]你真想知道？我们在做爱。假装学习等人走了就开始。,[PLAYER]We... were having sex. I find your mother attractive and when I see her ass I can't control myself.,
aoivictory43,@3-哈……哈……太一你太搞笑了！妈才不会那样。不想说就算了。[END],"@3-Well mom did say she would see how good my boyfriend fucks.  Glad, you two are already on it.[END]",
aoivictory51,@3-你知道……你应该辞掉你在淫乐世界的那份破工作，来这儿帮我。,@3-How's work at Erotic World? You must be getting at least one request for sex every day right?,
aoivictory52,@3-我需要个小帮手。店里没人的时候我们可以像这样做。,"@3-Well, even if you accept them don't forget that you got a horny girlfriend at home.",
aoivictory53,[PLAYER]嗯，你老板比布列塔尼漂亮多了，我可以考虑一下哈哈……[END],[PLAYER]I know that! That's why I only fuck girls that make my cock hard just by looking at them.,
shizukatintro1,嗯？静香女士，你怎么在这儿？,"Huh, aunt Shizuka what are you doing here?",
shizukatintro2,你觉得我来健身房还能干嘛？我也是这个健身房的会员。所以……这是你的时间段？,What do you think? I came here to work out. These abs don't grow by themselves you know.,
shizukatintro3,是啊……很高兴你在这儿。一直有人让我跟你再拍一集节目。,I know a little exercise to build muscles quickly. I can teach you if you want.,
shizukatintro4,你愿意玩吗？,Best part is you don't have to do anything yourself if we do it in a certain position.,
shizukatintro5,嗯……我还有时间，不过下班前可以……但你得先答应——,Yeah right... why don't you say that you want to have sex with me.,
shizukatintro6,拿出你的全力来赢。好了，开始吧！,Well I will only if you beat me at Janken.,
shizukagamewon1,啊呀！你输了……下次运气好点吧嘿嘿……,Aww! You lost... Better luck next time hehe...,
shizukagamewon2,别难过！我们还能找点乐子。跟我来！,Oh… don’t be sad! You long face makes me feel bad. Okay you can fuck my pussy.,
shizukagamewoncheat,想用小把戏打败猜拳女王？记住这一点。,You can't beat Janken Queen with cheap tricks. Remember that.,
shizukagamelost,啊……我输了。我得去值班了。嗯……我们在警察局里做吧。,You beat me fair and square. As Aoi's aunt it's my duty train her boyfriend to fuck her well.,
shizukagamelostcheat,你作弊可是要坐牢的。想逃过一劫就好好操我，嘿嘿……,How the fuck did you know what I was gonna pick? It felt like you cheated to fuck me.,
shizukavictory11,[PLAYER]冒充警察啊。幸好我知道怎么对付你这种冒牌货。,[PLAYER]You are best cop this city has to offer thanks to my special traning.,
shizukavictory12,@4-是的，长官。请用你的正义之锤惩罚我的脏屁股。,@4-Stop bullshitting! You know this training does jack shit to make me strong.,
shizukavictory13,[PLAYER]不用你教我怎么做事。现在我要操得更狠了。[END],[PLAYER]Well it does for me. I always inside a girl when I'm working out.[END],
shizukavictory21,[PLAYER]我不明白静香阿姨。你怎么从来没实现过被罪犯强上的幻想？,"[PLAYER]Aunt Suzy, thanks for keeping me becoming a criminal.",
shizukavictory22,@4-你还想怎样？全城最优秀的警官就在这……,@4-Huh? Now how did I do that?,
shizukavictory23,@4-没人能耍得了我。不过……有时候我想体验一下弱小的感觉。那就是你登场的时候。,[PLAYER]You offered your ass to me so I stayed calm and not beat that crap out of that man.,
shizukavictory24,[PLAYER]嘿嘿……难怪这个城市是全国最安全的之一。[END],@4-Oh... I was there to get you off of your addiction with my sister-in-law but okay.[END],
shizukavictory31,@4-我应该把你关起来的，因为你上了我弟媳，结果我反而在这跟你做。,@4-Why are you still banging my sister-in-law? You said you will stop after you fucked me.,
shizukavictory32,[PLAYER]我的鸡巴很特别的……一旦进去过就回不了头了。,[PLAYER]Have you seen how she dresses. Her expose bosoms tells everyone that she is ready for sex.,
shizukavictory33,@4-是啊我知道！所以这么多年了，纯纱才终于决定到处找人做了。[END],"@4-Yeah, you are right. She is asking to be fucked exposing her bosoms like that.[END]",
shizukavictory41,[PLAYER]静香阿姨……好久没见琼女士和哈珀女士了。她们在干嘛？,[PLAYER]Hey aunty where are your friends? I missed the time I used to fuck all three of you together.,
shizukavictory42,@4-琼在执行秘密任务。哈珀最近也有点忙。,@4-We got important things to do other than just getting fucked by a boy.,
shizukavictory43,@4-你想见她的话，可以一边操我一边等。,@4-Jun is out on a secret mission. Hanako is pissed that you fucked up her plan to catch...,
shizukavictory44,[PLAYER]呃，你不担心被人撞见吗？,@4-Your uncle. Her didn't get the promotion she wanted for that case.,
shizukavictory45,@4-全警局都知道了。没什么好藏的。别停就行。[END],"[PLAYER]You do know his secret deal was a dozen Himawari's burger for him and his friends, right?",
shizukavictory51,@4-千秋想敲诈我给她买东西。她以为我跟她妈一样好欺负。,"@4-You fucked me, Junsa, Aoi, Kagome and Misa. All the chicks in my family but Chiaki. Why's that?",
shizukavictory52,[PLAYER]是啊，纯纱太太在那小鬼在的时候不让我碰。我不知道她怎么……,[PLAYER]I did. She just wanna keep it a secret. She thinks Aoi will get mad her for this.,
shizukavictory53,[PLAYER]但她总是知道我在跟谁做。就像她是什么特工似的。,[PLAYER]I only fuck her so I can use her room to bang Junsa whenever I want.,
shizukavictory54,@4-她毕竟是我侄女嘛嘿嘿……[END],"@4-Yeah, my brother doesn't check on her much. He is more interested in Ryoko.[END]",
shizukavictorypus11,[PLAYER]嘿阿姨，稳住。做完你还要去上班呢。,"[PLAYER]Hey auntie, don't you think we will get in trouble for doing it while you are one work?",
shizukavictorypus12,@4-我知道……但我忍不住了。太舒服了。你顶得好深。,@4-Don't worry! All of my coworkers are chill about it. You can fuck me without any worries.,
shizukavictorypus13,[PLAYER]像你这种淫荡警察没救了。只能好好操了。[END],[PLAYER]Well in that case... I'm gonna destroy your pussy today.[END],
shizukavictorypus21,[PLAYER]振作点静香阿姨。连纯纱太太都不会这么淫荡。而且我跟她做的次数比你多多了。,[PLAYER]Even Junsa doesn't make face like this when I fuck her and I do it with complete passion with her.,
shizukavictorypus22,@4-纯纱跟你像兔子一样天天做。难怪她已经习惯了这种快感。[END],@4-Stop lying! I have seen her face when you two bang in the storage room.[END],
shizukavictorypus31,[PLAYER]我要一直射在里面，直到你怀上我的孩子。,"[PLAYER]I've three bastards so far. With Kurumi, Junsa and Real Tall Lady. Would you like to be number 4?",
shizukavictorypus32,@4-好，请让我怀一个。就像纯纱那样！,@4-What? That baby is yours! That lying bitch! I wonder if Aoi and Chiaki are really my brother's.,
shizukavictorypus33,[PLAYER]什么……你怎么知道的？我让纯纱太太保密的。,[PLAYER]They are his children alright... Only the new one is mine. Ryoko is really happy with me.,
shizukavictorypus34,@4-是凉子告诉我的。我让你们在市里录节目，她就给我透露这些八卦。,[PLAYER]She said when the moment is right she will tell him about it to deal the maximum damage.,
shizukavictorypus35,@4-别担心……你的秘密在我这儿安全得很。只要你每周让我这么爽一次就行。[END],@4-Wait! She hates my brother? Why? He is so nice to her. Does't even ask her for rent.[END],
shizukavictorypus41,[PLAYER]嘿，这周日有空吗？我们去玩彩弹枪吧？怎么样？,[PLAYER]Are you free this Sunday? I'm banging 10 older ladies at Butt Naked Hotel.,
shizukavictorypus42,@4-可以，但你得保证别像上次那样作弊。你知道身上沾了什么颜色就算……,[PLAYER]It would be great if you could come then I don't have to ask Mrs. Yamada to be there.,
shizukavictorypus43,@4-命中。他们看到我屁股上沾了精液又会取消我资格的。,@4-Lucky for you it's my day off that day. Is Junsa coming too?,
shizukavictorypus44,[PLAYER]那不算作弊。游戏规则只说躲藏时也算，所以我在你身上涂精液是公平的。[END],[PLAYER]Well yes! She was part of every sex event I’ve done in the past.[END],
shizukavictorypus51,@9-晚上好前辈！抱歉我迟到了——我操！你们干嘛在这里做？,"@9-Sorry, I'm late. I was.. What the fuck! Ms. Sakurai you said Masuo went back to Yamanamashi.",
shizukavictorypus52,@4-放松……又没什么紧急任务。,"@4-Yeah, he did... For a couple of days hehe... You can wait in line if you want your turn.",
shizukavictorypus53,@9-但我们两个马上要巡逻了。,@9-I want my turn now. I haven't had sex with him since last year. Get off of her Masuo and fuck me.,
shizukavictorypus54,@4-我还剩30分钟……够太一再给我来一发热腾腾的内射了。[END],"@4-I'm still your senior. What I say, goes. He will fuck you when I'm done with him.[END]",
jukointro1,哦，珠子阿姨！没想到在这儿碰到你。拓呢？,"Yo! Aunt Juko, what are you doing here? I was just thinking of drinking buttload of milk today.",
jukointro2,我哥哥在和他妻子单独待一会儿，所以我在这照顾拓。,My brother is spending a little time with her wife so I'm here looking after Tatsuka.,
jukointro3,哈哈……你穿这条裤子屁股看起来真可爱。想玩个小游戏吗？,Shit! Your ass is looking great in those tight pants. I wanna fuck it right now.,
jukointro4,像上次那样？我不太喜欢肛交，不过……,What! You know I don't like taking it in the ass. I'll agree if you beat me in janken like last time.,
jukointro5,这几个月我们做的次数少太多了……所以，我什么都愿意。开始吧！,We need to hurry as Tatsuka will be coming home any minute.,
jukogamewon,哦……太一君，我尽力了……拓马上就回来了。你可以在她房间里等她。,Thank goodness! My ass is saved. Well you can always ask Tatsuka for it.,
jukogamewoncheat,我理解。我老了。不像年轻人那么有意思了。再见！,You cheater! No wonder Tatsuka likes you so much. You two are the same.,
jukogamelost,哦，你赢了！我希望你能考虑用前面而不是后面。,Ow… It’s gonna sting for days after this. Okay… we will do it till Tatsuka shows up.,
jukogamelostcheat,那不太公平……但说明你对我还有兴趣。好吧，就在这儿做吧。,How low you have to get to fuck my ass? Okay.. we will do it till Tatsuka returns.,
jukovictory11,@5-（大声呻吟……）啊！拓怎么能用这么大的东西插屁股还那么开心？,@5-(Loud moans...)Why do you like to do it so much? Don't you feel good doing it in the pussy?,
jukovictory12,[PLAYER]她是为了我们的友谊才忍受的。来吧……你可是经验丰富的女人。,[PLAYER]With girls my age yes. With older woman like you I prefer ass as it's more tight.,
jukovictory13,[PLAYER]对你来说应该轻而易举。,[PLAYER]Only exception is Junsa. She is tight every time I fuck her.,
jukovictory14,@5-你说得倒轻松！被撕开的可是我的屁股。[END],@5-My pussy was tight for you until you opened it up with constant sex.[END],
jukovictory21,[PLAYER]珠子阿姨，你的胸是我见过最大的。有时候我怀疑是不是假的。,"[PLAYER]You know with height to boobs ratio, yours are the biggest one in the world.",
jukovictory22,@5-是真的！我高中就这么大了。[END],@5-I know… They began to grow since high school. Now I can’t see anything below me.[END],
jukovictory31,[PLAYER]我经常操菲莉西亚和拓的屁股。她们都不会像灵魂出窍一样叫。,"[PLAYER]When I fucked Tatsuka for the first time, she didn't bitch like her soul is leaving her body.",
jukovictory32,@5-那你就去找她们做肛交。我更希望你用前面。,@5-Because she and my daughter play a game where they see who can fit a bigger dildo inside them.,
jukovictory33,[PLAYER]是啊，但跟你做的感觉更好，毕竟我们不常做嘛嘿嘿……[END],"[PLAYER]Oh, and I was thinking she was letting the whole team rail her.[END]",
jukovictory41,[PLAYER]我知道你以前在平冢病院工作过。那地方的名声……,[PLAYER]You worked at Hirakawa asylume right? All the woman who worked there have become...,
jukovictory42,[PLAYER]你应该是个群P荡妇。,[PLAYER]Sluts. How come you haven't turn into one?,
jukovictory43,@5-嗯，我以前对那些年轻医生挺感兴趣的，但他们被我朋友吓到了。,@5-I wanted to become one but that bitch Mrs. Kobayashi would scare off all the doctors.,
jukovictory44,@5-没人敢靠近我，因为怕克莱默太太。后来我就无聊了……,@5-She would threatened to chop off anyones cock who dares to sleep with me.,
jukovictory45,@5-发誓不再到处找人做，直到遇见了你。现在除了我老公，我就只跟你做。[END],@5-After that I quit looking for a young cock to fuck me until I met you.[END],
jukovictory51,@5-我觉得够了。你能用前面吗？,@5-I think that's enough. You will break my ass if you continue any longer.,
jukovictory52,@5-嘿！我知道你在听。别装没听见。来嘛，我也想舒服一下！[END],[PLAYER]You are having sex with a professional. I know how much your ass can handle it.[END],
momokointro1,嘿太一，看我买了什么。我们今晚要直播对吧？,There you are. I haven't made any food yet. You just eat and leave without fucking me.,
momokointro2,我听几个客人说这游戏现在很火。,Well it's not gonna happen tonight. You will get to eat only if you fuck me.,
momokointro3,今晚直播的话能赚不少钱。我穿得像榨乳妈咪一样。我们——,Look! I'm even dressed like a slut to get you horny. Are you feeling aroused now?,
momokointro4,抱歉，今晚不直播了。凉子说今晚要拍新一集节目。,Look! I'm even dressed like a slut to get you horny. Are you feeling aroused yet?,
momokointro5,我知道了……要不你来当今晚的嘉宾？观众会喜欢的。,What's the point of it? All the energy I could get from the food is wasted on fucking you.,
momokointro6,哦……既然凉子说了，那我们就先拍完再说吧。开始吧！,But I also applied a potion that will make my ass tight. Come on... you will have fun tonight.,
momokogameplay,太一我会输的……我们赶紧拍完这集好回去玩游戏吧。,You will fuck me in exchange for this game? Alright... it's yours!,
momokogamewon,干嘛苦着脸太一君？妈妈玩游戏的时候你也可以操我啊。,Now... let's  go back at my place. I'm gonna milk you dry.,
momokogamewoncheat,你作弊都输了，我好失望。回家玩游戏去吧。,Even after cheating you lost. Well I'm gonna make you fuck me harder now.,
momokogamelost,嗯……我以为我会赢的，这样就能回去干自己的事了。跟我去小巷吧。,Well at least fuck me once if you are gonna get free food from me.,
momokogamelostcheat,妈妈对你得作弊才能赢很失望。跟我去小巷吧。,How pathetic! You have to cheat for food. Well at least fuck me once to say thanks.,
momokovictory11,@6-太一君，我们在巷子里做不行吗？有那个人在我没法专心玩游戏。,"@6-With how much efforts you are putting in tonight, I could tell you are enjoying it.",
momokovictory12,[PLAYER]不行，你答应让我操的时候我一刻都不能等。快点，按开始。,[PLAYER]Yeah! It's actually having fun ramming into your tight ass. If only you do this all the time.,
momokovictory13,@6-如果我玩得太烂，那个人会发现不是我在玩游戏。等他走了我再玩。[END],@6-That lotion is not cheap you know. Guess I will have to work overtime to buy it every day.[END],
momokovictory21,@8-你是榨乳妈咪对吧？你遮着脸我也认得出你的声音。,@8-Hey aren't you that slut who got fucked by all of your husband's friend in BN Hotel.,
momokovictory22,@8-我是你最大的粉丝。我能……等这小子完事了操你吗？,@8-Yup! You are. I still remember your face well. So... you need another cock in your pussy?,
momokovictory23,@6-先生，你认错人了。我不是你说的那位女士。,@6-I'm fine thank you! I only prefer fat cocks now. Like this boy here.,
momokovictory24,[PLAYER]没错，她就是榨乳妈咪。只有我能操她，你最好替她保密。,[PLAYER]You act like an innocent lady in front of every one. But in reality you are the biggest slut.,
momokovictory25,@8-太遗憾了！我真的很想操她。至少能合张影吗？,"@8-Yeah, I've been part of many orgies. She was the only one who took on 30 men and wanted more.",
momokovictory26,[PLAYER]好吧！但记得把她的脸打码。不想暴露她的身份。[END],[PLAYER]That explains why only her blowjob feels great. She is quite experienced in that regard.[END],
